previous_exam_score,assignment_completion_rate,practice_problems_solved,coding_challenges_completed,time_spent_on_coding_platform,debugging_sessions,study_hours_per_week,attendance_rate,self_reported_confidence,stress_level,sleep_hours,physical_activity,final_exam_score,performance_level
67.71727425406061,56.32754727735875,35,5,59.47218894337548,8,2.6143276042126686,80.56871349476444,3,2,7.367556213446209,2,84.87368300728804,Beginner
78.91941749737286,71.15762613591828,46,11,96.81348760352195,5,16.55315474833067,57.68603668045864,4,2,8.088785508283202,2,69.7595925089413,Intermediate
52.03141541834222,61.70580451392459,8,18,80.99128656023743,6,17.079321540808323,96.50046326614157,3,2,4.05709049506765,2,76.15498526263355,Beginner
78.60489238510482,22.169790766335893,25,9,53.26578841514211,9,18.980365878248,52.18790173428013,2,4,8.531730786723594,1,75.1409242332829,Intermediate
53.74146568815113,87.26419380169115,34,5,19.432220312610358,9,19.548156345919942,65.88999454169426,1,2,6.710230704928957,0,95.79692284193248,Intermediate
64.30715294308042,81.66791455979629,41,5,20.738612847015652,4,9.675975095101359,68.53414777527132,2,1,4.926811667070499,1,47.03089904861679,Beginner
58.77091456977688,81.79999764410877,23,18,105.82947385058525,3,18.767481295903075,68.41904331241471,1,2,5.364043827557871,1,69.81696582586977,Intermediate
28.80260638492186,68.12903852852065,43,6,72.76331761941218,3,4.823290302632688,92.91652082005768,3,4,6.081117586659399,2,93.5238157786779,Advanced
95.43484303408792,36.78264711377775,26,6,99.53882625155035,2,7.875109312256142,54.678401541039214,2,3,7.754222046906687,1,68.69303401356336,Intermediate
69.73703010619747,95.54045354453447,28,7,113.80576190963613,6,19.702718646030743,88.08229697308275,1,2,7.231581418358659,1,62.995344502131864,Intermediate
