previous_exam_score,assignment_completion_rate,practice_problems_solved,coding_challenges_completed,time_spent_on_coding_platform,debugging_sessions,study_hours_per_week,attendance_rate,self_reported_confidence,stress_level,sleep_hours,physical_activity,final_exam_score,performance_level
75.4621220376114,85.22657608571758,48,14,80.42388349727374,8,9.698034491172688,97.56557417709588,3,2,7.745919490688934,0,96.25730362513525,Intermediate
20.465603665236223,97.75940292441973,8,17,65.34353547269272,8,7.105729257808445,71.63148028393003,4,4,7.420623093459266,2,96.0541339858369,Beginner
91.73845679861236,57.32538667366341,6,8,15.941592556575774,3,11.634653493264992,53.15602514376294,1,3,4.241599812497418,1,56.7242144222959,Beginner
38.3151225273582,54.884683081125225,12,4,64.50910169949745,0,13.066359357317971,64.40582040830796,4,3,8.03557327026711,1,58.28560628605741,Intermediate
87.75611743032664,28.536803918260915,13,2,14.33740535339491,6,5.839369558918048,59.49942701131545,4,4,4.527811569888368,2,59.13174417469953,Intermediate
55.99650303398546,93.51729290922728,28,19,64.8472509474611,9,1.770626210181465,62.55381154395831,3,4,7.638580610420472,1,95.47624435765614,Advanced
39.48281222122347,36.61412028904862,19,16,69.57271045053926,6,18.545197868320464,71.18532455730201,4,1,4.074828843630685,1,68.0804764522371,Intermediate
86.11444362880292,33.80711109795257,27,18,39.79029281517808,8,15.500097840967712,64.7437870133312,1,1,5.393048061276595,2,58.70952939070908,Beginner
37.63723953076734,33.98882545669605,44,14,49.35651126043467,1,19.194178209486974,78.69227099645816,2,4,7.147354458174435,0,92.60992723624742,Advanced
36.8524288429827,79.7667570583362,43,1,80.55287715976299,9,5.647477281605695,61.079046655434404,3,3,8.46168125878912,2,34.5644775087804,Advanced
